Brand,Model,Year,Average Price USD
chevrolet,1500,2014,11200
chevrolet,1501,2015,29000
chevrolet,1502,2016,20329
chevrolet,1503,2017,28282
chevrolet,1504,2018,26800
chevrolet,1505,2019,38925
